"filename", "language", "JSON", "JavaScript JSX", "JavaScript", "comment", "blank", "total"
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\package-lock.json", "JSON", 1597, 0, 0, 0, 0, 1597
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\package.json", "JSON", 1, 0, 0, 0, 0, 1
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\App.jsx", "JavaScript JSX", 0, 3, 0, 0, 0, 3
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\Components\Admin\ListItem\ListItem.jsx", "JavaScript JSX", 0, 28, 0, 2, 0, 30
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\Components\FormDialog\FormDialogCategory.jsx", "JavaScript JSX", 0, -18, 0, -1, 0, -19
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\Components\FormDialog\FormDialogCustomer.jsx", "JavaScript JSX", 0, -3, 0, 0, -1, -4
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\Components\FormDialog\FormDialogEmployee.jsx", "JavaScript JSX", 0, -10, 0, 0, -1, -11
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\Contexts\AuthContext.jsx", "JavaScript JSX", 0, -2, 0, 0, 0, -2
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\Contexts\EmployeesContext.jsx", "JavaScript JSX", 0, 10, 0, 0, 1, 11
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\Contexts\OrderContext.jsx", "JavaScript JSX", 0, 10, 0, 0, 1, 11
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\Contexts\PaymentContext.jsx", "JavaScript JSX", 0, 52, 0, 0, 9, 61
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\Contexts\UsersContext.jsx", "JavaScript JSX", 0, 10, 0, 0, 1, 11
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\Pages\Admin\Auth\AdminLogin\AdminLogin.jsx", "JavaScript JSX", 0, -21, 0, 0, 0, -21
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\Pages\Admin\CategoryManage\CategoryManage.jsx", "JavaScript JSX", 0, 21, 0, 2, 0, 23
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\Pages\Admin\CustomerManage\CustomerManage.jsx", "JavaScript JSX", 0, 84, 0, 2, 5, 91
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\Pages\Admin\EmployeeManage\EmployeeManage.jsx", "JavaScript JSX", 0, 51, 0, 2, 2, 55
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\Pages\Admin\OrderManage\OrderDetail.jsx", "JavaScript JSX", 0, 11, 0, 0, -1, 10
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\Pages\Admin\OrderManage\OrderManage.jsx", "JavaScript JSX", 0, 27, 0, 0, 0, 27
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\Pages\Admin\PaymentManage\PaymentManage.jsx", "JavaScript JSX", 0, 208, 0, 5, 15, 228
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\Pages\Admin\PaymentManage\index.jsx", "JavaScript JSX", 0, 1, 0, 0, 1, 2
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\Pages\Admin\ProductManage\ProductForm.jsx", "JavaScript JSX", 0, 10, 0, 2, -2, 10
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\Pages\Admin\ProductManage\ProductManage.jsx", "JavaScript JSX", 0, 8, 0, 0, 0, 8
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\Pages\User\Auth\Login\Login.jsx", "JavaScript JSX", 0, 36, 0, 3, 1, 40
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\Pages\User\Auth\Register\Register.jsx", "JavaScript JSX", 0, 39, 0, 3, 2, 44
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\Pages\User\OrderPage\OrderPageDetail.jsx", "JavaScript JSX", 0, 11, 0, 0, -1, 10
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\Reducers\PaymentReducer\action.jsx", "JavaScript JSX", 0, 7, 0, 0, 2, 9
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\Reducers\PaymentReducer\constant.jsx", "JavaScript JSX", 0, 1, 0, 0, 1, 2
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\Reducers\PaymentReducer\reducer.jsx", "JavaScript JSX", 0, 21, 0, 0, 4, 25
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\Service\employeeApi.jsx", "JavaScript JSX", 0, 4, 0, 0, 0, 4
